Time Limit,Genetic Time(s),Genetic Best Score,HillClimb Time(s),HillClimb Best Score
0.1,0.206000089645,-120.0,1,-10000
0.1,0.138000011444,-71,1,-10000
0.1,0.0350000858307,-38,1,-10000
0.1,0.178999900818,-187.0,1,-10000
0.1,0.047000169754,-119.0,1,-10000
0.1,0.120000123978,-105.0,1,-10000
0.1,0.00699996948242,-97.0,1,-10000
0.1,0.0130000114441,-112,1,-10000
0.1,0.174999952316,-49.0,1,-10000
0.1,0.115999937057,-136,1,-10000
0.25,0.219000101089,-177.0,1,-10000
0.25,0.217000007629,-16.0,1,-10000
0.25,0.214999914169,-135,1,-10000
0.25,0.249000072479,-86.0,1,-10000
0.25,0.223999977112,-61.0,1,-10000
0.25,0.211000204086,-29.0,1,-10000
0.25,0.210999965668,-44.0,1,-10000
0.25,0.226999998093,-111.0,1,-10000
0.25,0.246999979019,-80.0,1,-10000
0.25,0.251000165939,-107.0,1,-10000
0.5,0.354000091553,-10,1,-10000
0.5,0.371999979019,-105,1,-10000
0.5,0.496999979019,2.0,1,-10000
0.5,0.496000051498,-43.0,1,-10000
0.5,0.480999946594,-35,1,-10000
0.5,0.458999872208,-22.0,1,-10000
0.5,0.467000007629,-48.0,1,-10000
0.5,0.440999984741,12.0,1,-10000
0.5,0.489999771118,-29.0,1,-10000
0.5,0.43700003624,-37.0,1,-10000
1,0.87299990654,67,1,-10000
1,0.973999977112,17.0,1,-10000
1,0.969000101089,68,1,-10000
1,0.74599981308,21,1,-10000
1,0.99599981308,22,1,-10000
1,0.958000183105,-9,1,-10000
1,0.93799996376,43,1,-10000
1,0.999000072479,-23,1,-10000
1,0.983999967575,4.0,1,-10000
1,0.989000082016,8,1,-10000
2,1.91799998283,158,1,-10000
2,1.97000002861,163,1,-10000
2,1.96999979019,125,1,-10000
2,1.98599982262,174.0,1,-10000
2,1.98699998856,144,1,-10000
2,1.96000003815,179.0,1,-10000
2,1.91000008583,138,1,-10000
2,1.96599984169,102.0,1,-10000
2,2.00300002098,127.0,1,-10000
2,1.98199987411,171,1,-10000
3,2.992000103,240.0,1,-10000
3,2.8789999485,231,1,-10000
3,2.91400003433,170.0,1,-10000
3,2.74300003052,238,1,-10000
3,2.96900010109,240.0,1,-10000
3,2.9399998188,250,1,-10000
3,2.94099998474,156,1,-10000
3,2.99400019646,239.0,1,-10000
3,2.9240000248,209,1,-10000
3,2.98099994659,212,1,-10000
4,3.88800001144,264,1,-10000
4,3.93799996376,241.0,1,-10000
4,3.90600013733,211,1,-10000
4,3.98200011253,237,1,-10000
4,3.58499979973,202,1,-10000
4,3.98799991608,250.0,1,-10000
4,3.90299987793,241,1,-10000
4,3.97200012207,204,1,-10000
4,3.92599987984,238,1,-10000
4,4.00200009346,261.0,1,-10000
5,4.90499997139,245,1,-10000
5,4.82799983025,290,1,-10000
5,4.8109998703,259,1,-10000
5,4.97599983215,259.0,1,-10000
5,4.96000003815,284,1,-10000
5,4.72200012207,299,1,-10000
5,4.87699985504,269,1,-10000
5,4.99300003052,253,1,-10000
5,4.70300006866,240,1,-10000
5,4.98199987411,256,1,-10000
6,5.98500013351,274.0,1,-10000
6,5.99399995804,288,1,-10000
6,5.88199996948,257,1,-10000
6,5.89199995995,231,1,-10000
6,5.95499992371,296,1,-10000
6,5.9350001812,299,1,-10000
6,5.97299981117,278.0,1,-10000
6,5.87299990654,268,1,-10000
6,5.92900013924,298,1,-10000
6,5.79799985886,274,1,-10000
7,6.94699978828,288.0,1,-10000
7,6.99799990654,255.0,1,-10000
7,6.87599992752,261,1,-10000
7,6.92199993134,264,1,-10000
7,7.00099992752,271.0,1,-10000
7,6.82000017166,259,1,-10000
7,7.00300002098,286,1,-10000
7,6.76999998093,245,1,-10000
7,6.97000002861,288.0,1,-10000
7,6.99300003052,236,1,-10000
8,7.96799993515,284,1,-10000
8,7.90799999237,285,1,-10000
8,8.00300002098,282.0,1,-10000
8,7.95000004768,305,1,-10000
8,7.88800001144,293,1,-10000
8,7.41300010681,274,1,-10000
8,7.90700006485,301,1,-10000
8,7.75999999046,260,1,-10000
8,7.96799993515,309,1,-10000
8,7.8069999218,273,1,-10000
9,8.84800004959,308,1,-10000
9,8.89400005341,298,1,-10000
9,8.8100001812,290,1,-10000
9,7.91300010681,300,1,-10000
9,8.9319999218,327,1,-10000
9,9.00200009346,319.0,1,-10000
9,8.78400015831,283,1,-10000
9,8.92100000381,310,1,-10000
9,9.00100016594,275.0,1,-10000
9,8.95600008965,307,1,-10000
10,9.81300020218,284,1,-10000
10,9.73599982262,322,1,-10000
10,9.85400009155,319,1,-10000
10,9.92100000381,305,1,-10000
10,9.96500015259,288,1,-10000
10,8.82500004768,315,1,-10000
10,9.99500012398,271.0,1,-10000
10,8.69099998474,310,1,-10000
10,8.76700019836,320,1,-10000
10,9.63399982452,322,1,-10000
