Time Limit,Genetic Time(s),Genetic Best Score,HillClimb Time(s),HillClimb Best Score,,,,,,,,,,
0.1,0,-51,0.092999935,-88,,25,A2,0.1,25,C2,C11,12,E2,E11
0.1,0.002000093,-21,0.088999987,-82,,-54,A12,0.15,-54,C12,C21,50,E12,E21
0.1,0.013000011,7,0.095999956,-30,,66,,0.5,66,C22,C31,66,E22,E31
0.1,0.11500001,-11,0.093999863,-51,,,,0.1,100,C32,C41,103,E32,E41
0.1,0.079999924,-17,0.092000008,-60,,,,0.15,121,C42,C51,125,E42,E51
0.1,0.102999926,-12,0.095999956,-13,,,,0.5,123,C52,C61,126,E52,E61
0.1,0.053999901,12,0.093000174,-55,,,,0.1,121,C62,C71,127,E62,E71
0.1,0.029000044,25,0.087000132,-47,,,,0.15,123,C72,C81,128,E72,E81
0.1,0.047999859,-14,0.089999914,12,,,,0.5,127,C82,C91,128,E82,E91
0.1,0.059000015,-5,0.094000101,-101,,,,,,,,,,
0.15,0,-1119,0.149000168,-56,,,,,,,,,,
0.15,0,-515,0.146999836,-45,,,,,,,,,,
0.15,0.030999899,-574,0.147000074,-24,,,,,,,,,,
0.15,0.014999866,-1028,0.148000002,-93,,,,,,,,,,
0.15,0.022000074,-602,0.138999939,-6,,,,,,,,,,
0.15,0.015999794,-54,0.145999908,50,,,,,,,,,,
0.15,0,-69,0.142999887,-26,,,,,,,,,,
0.15,0.017999887,-598,0.142999887,-43,,,,,,,,,,
0.15,0,-1049,0.142999887,-74,,,,,,,,,,
0.15,0.030999899,-78,0.148999929,4,,,,,,,,,,
0.5,0.292000055,56,0.495000124,-34,,,,,,,,,,
0.5,0.392999887,-11,0.489000082,60,,,,,,,,,,
0.5,0.383000135,19,0.499000072,-22,,,,,,,,,,
0.5,0.353999853,-469,0.487999916,9,,,,,,,,,,
0.5,0.041999817,30,0.488000154,66,,,,,,,,,,
0.5,0.384000063,66,0.486999989,16,,,,,,,,,,
0.5,0.325999975,66,0.487999916,-87,,,,,,,,,,
0.5,0.359999895,-22,0.486999989,21,,,,,,,,,,
0.5,0.361000061,51,0.486999989,8,,,,,,,,,,
0.5,0.357000113,53,0.493000031,-43,,,,,,,,,,
1,0.89199996,75,0.988999844,33,,,,,,,,,,
1,0.894999981,87,0.988999844,-77,,,,,,,,,,
1,0.824999809,89,0.986000061,66,,,,,,,,,,
1,0.898999929,33,0.986999989,88,,,,,,,,,,
1,0.878999949,95,0.988999844,84,,,,,,,,,,
1,0.888999939,81,0.987999916,82,,,,,,,,,,
1,0.858999968,92,0.988000154,103,,,,,,,,,,
1,0.808000088,97,0.986999989,35,,,,,,,,,,
1,0.898000002,6,0.986999989,93,,,,,,,,,,
1,0.878000021,100,0.986999989,50,,,,,,,,,,
2,1.911000013,105,1.208000183,123,,,,,,,,,,
2,1.812000036,108,1.264999866,121,,,,,,,,,,
2,1.838000059,114,1.365999937,107,,,,,,,,,,
2,1.805999994,106,1.321999788,122,,,,,,,,,,
2,1.850000143,110,1.262999773,110,,,,,,,,,,
2,1.75,101,1.327000141,118,,,,,,,,,,
2,1.840000153,113,1.32400012,117,,,,,,,,,,
2,1.804999828,114,1.325999975,125,,,,,,,,,,
2,1.901000023,121,1.32400012,108,,,,,,,,,,
2,1.88499999,111,1.411000013,114,,,,,,,,,,
3,2.910000086,119,2.779000044,105,,,,,,,,,,
3,2.914999962,117,1.333000183,121,,,,,,,,,,
3,2.919999838,118,1.320999861,126,,,,,,,,,,
3,2.914000034,114,1.291000128,121,,,,,,,,,,
3,2.913000107,115,1.254999876,111,,,,,,,,,,
3,2.730000019,110,2.833999872,126,,,,,,,,,,
3,2.895999908,117,2.753999949,119,,,,,,,,,,
3,2.90199995,123,2.802999973,120,,,,,,,,,,
3,2.898000002,122,2.631999969,123,,,,,,,,,,
3,1.957999945,117,1.313999891,121,,,,,,,,,,
4,3.907999992,116,3.986000061,122,,,,,,,,,,
4,3.875999928,119,1.357000113,120,,,,,,,,,,
4,3.911999941,81,2.850000143,127,,,,,,,,,,
4,3.862999916,118,1.462999821,121,,,,,,,,,,
4,3.909000158,92,2.981999874,119,,,,,,,,,,
4,3.996000052,115,2.972000122,124,,,,,,,,,,
4,3.911999941,113,2.870000124,127,,,,,,,,,,
4,3.898000002,121,1.401000023,119,,,,,,,,,,
4,3.921000004,121,2.713999987,126,,,,,,,,,,
4,2.532000065,117,2.746000052,126,,,,,,,,,,
5,4.882999897,92,4.141000032,112,,,,,,,,,,
5,4.917000055,119,1.227999926,122,,,,,,,,,,
5,4.907000065,109,4.142000198,120,,,,,,,,,,
5,4.75,120,1.253000021,120,,,,,,,,,,
5,4.09499979,121,2.667000055,122,,,,,,,,,,
5,4.907000065,120,1.284999847,112,,,,,,,,,,
5,4.911999941,112,2.657000065,115,,,,,,,,,,
5,4.228999853,123,1.376999855,125,,,,,,,,,,
5,4.906999826,120,4.204999924,128,,,,,,,,,,
5,4.909000158,122,4.166999817,122,,,,,,,,,,
6,5.887000084,15,1.40899992,120,,,,,,,,,,
6,5.880999804,82,2.71600008,122,,,,,,,,,,
6,5.871999979,127,1.411000013,120,,,,,,,,,,
6,5.879000187,90,1.571000099,123,,,,,,,,,,
6,5.900000095,123,2.916000128,116,,,,,,,,,,
6,5.89199996,119,1.579999924,113,,,,,,,,,,
6,5.909000158,120,5.631000042,121,,,,,,,,,,
6,5.92200017,44,5.583999872,128,,,,,,,,,,
6,5.920000076,122,1.333999872,123,,,,,,,,,,
6,5.911999941,30,1.392999887,120,,,,,,,,,,
