price,ternary,,,,,
location,age,schools,size,cheap,ok,expensive
0,0,0,0,0.5,0.4,0.1
0,0,0,1,0.4,0.45,0.15
0,0,0,2,0.35,0.45,0.2
0,0,1,0,0.4,0.3,0.3
0,0,1,1,0.35,0.3,0.35
0,0,1,2,0.3,0.25,0.45
0,1,0,0,0.45,0.4,0.15
0,1,0,1,0.4,0.45,0.15
0,1,0,2,0.35,0.45,0.2
0,1,1,0,0.25,0.3,0.45
0,1,1,1,0.2,0.25,0.55
0,1,1,2,0.1,0.2,0.7
1,0,0,0,0.7,0.299,0.001
1,0,0,1,0.65,0.33,0.02
1,0,0,2,0.65,0.32,0.03
1,0,1,0,0.55,0.35,0.1
1,0,1,1,0.5,0.35,0.15
1,0,1,2,0.45,0.4,0.15
1,1,0,0,0.6,0.35,0.05
1,1,0,1,0.55,0.35,0.1
1,1,0,2,0.5,0.4,0.1
1,1,1,0,0.4,0.4,0.2
1,1,1,1,0.3,0.4,0.3
1,1,1,2,0.3,0.3,0.4
2,0,0,0,0.8,0.1999,0.0001
2,0,0,1,0.75,0.24,0.01
2,0,0,2,0.75,0.23,0.02
2,0,1,0,0.65,0.3,0.05
2,0,1,1,0.6,0.33,0.07
2,0,1,2,0.55,0.37,0.08
2,1,0,0,0.7,0.27,0.03
2,1,0,1,0.64,0.3,0.06
2,1,0,2,0.61,0.32,0.07
2,1,1,0,0.48,0.42,0.1
2,1,1,1,0.41,0.39,0.2
2,1,1,2,0.37,0.33,0.3
